Topic,Words,Frequency,Timestamp,Name
27,"token, cache, kv",7,2024-09-30 18:00:00,27_token_vit_tokenization
28,"sign, deaf, translation",4,2024-09-30 18:00:00,28_sign_gloss_translation
29,"transmission, communication, wireless",2,2024-09-30 18:00:00,29_communication_wireless_transmission
30,"game, player, museum",3,2024-09-30 18:00:00,30_game_player_llm
31,"lisa, hot, spot",2,2024-09-30 18:00:00,31_pulsar_star_gravitational
32,"infant, estimation, gma",3,2024-09-30 18:00:00,32_estimation_occlusion_camera
33,"newborn, stress, resuscitation",2,2024-09-30 18:00:00,33_rppg_physiological_remote
-1,"scene, cloud, physical",182,2024-10-31 04:00:00,-1_scene_action_camera
0,"segmentation, mri, imaging",126,2024-10-31 04:00:00,0_segmentation_medical_mri
1,"editing, t2v, edit",66,2024-10-31 04:00:00,1_editing_edit_t2v
2,"robot, policy, manipulation",41,2024-10-31 04:00:00,2_robot_policy_manipulation
3,"facial, head, talk",17,2024-10-31 04:00:00,3_facial_head_talk
4,"gaussian, scene, splatting",19,2024-10-31 04:00:00,4_gaussian_scene_splatting
5,"deepfake, attack, hindi",15,2024-10-31 04:00:00,5_deepfake_attack_adversarial
6,"super, restoration, sr",14,2024-10-31 04:00:00,6_super_sr_restoration
7,"forecasting, graph, crime",15,2024-10-31 04:00:00,7_traffic_forecasting_graph
8,"caption, captioning, retrieval",12,2024-10-31 04:00:00,8_caption_captioning_retrieval
9,"compression, coding, codec",12,2024-10-31 04:00:00,9_compression_codec_coding
10,"wave, pulse, laser",7,2024-10-31 04:00:00,10_quantum_vortex_wave
11,"audio, sound, speech",7,2024-10-31 04:00:00,11_audio_sound_music
12,"reasoning, question, answer",13,2024-10-31 04:00:00,12_question_reasoning_answer
13,"hyperspectral, spectral, hsi",6,2024-10-31 04:00:00,13_hyperspectral_spectral_hsi
14,"sar, radar, satellite",11,2024-10-31 04:00:00,14_sar_radar_satellite
15,"action, adapter, textit",3,2024-10-31 04:00:00,15_action_activity_vocabulary
16,"tracking, anything, sam2",6,2024-10-31 04:00:00,16_tracking_segmentation_vos
17,"surgical, surgery, catheter",6,2024-10-31 04:00:00,17_surgical_surgery_sam
18,"synthesis, soccer, egocentric",10,2024-10-31 04:00:00,18_character_synthesis_body
19,"assessment, iqa, vbench",5,2024-10-31 04:00:00,19_assessment_vqa_iqa
20,"driving, autonomous, simulation",3,2024-10-31 04:00:00,20_driving_autonomous_traffic
21,"4d, camera, scene",5,2024-10-31 04:00:00,21_monocular_scene_estimation
22,"misinformation, creator, recommendation",6,2024-10-31 04:00:00,22_recommendation_social_medium
23,"assembly, egocentric, body",5,2024-10-31 04:00:00,23_egocentric_grasp_bimanual
24,"document, rag, attentiveness",1,2024-10-31 04:00:00,24_llm_geospatial_student
25,"anomaly, abnormality, vad",3,2024-10-31 04:00:00,25_anomaly_vad_normal
26,"emotion, fer, er",3,2024-10-31 04:00:00,26_emotion_expression_facial
27,"token, tokenization, tokenizer",4,2024-10-31 04:00:00,27_token_vit_tokenization
28,"sign, translation, gloss",5,2024-10-31 04:00:00,28_sign_gloss_translation
29,"multicast, channel, campus",2,2024-10-31 04:00:00,29_communication_wireless_transmission
30,"game, interactive, controllability",1,2024-10-31 04:00:00,30_game_player_llm
31,"dust, gw, lisa",2,2024-10-31 04:00:00,31_pulsar_star_gravitational
32,"tennis, player, ball",1,2024-10-31 04:00:00,32_estimation_occlusion_camera
33,"rppg, body, wearable",2,2024-10-31 04:00:00,33_rppg_physiological_remote
-1,"scene, event, camera",252,2024-11-30 14:00:00,-1_scene_action_camera
0,"segmentation, medical, mri",90,2024-11-30 14:00:00,0_segmentation_medical_mri
1,"editing, edit, preference",97,2024-11-30 14:00:00,1_editing_edit_t2v
2,"policy, robot, action",26,2024-11-30 14:00:00,2_robot_policy_manipulation
3,"facial, talk, head",28,2024-11-30 14:00:00,3_facial_head_talk
4,"gaussian, scene, splatting",27,2024-11-30 14:00:00,4_gaussian_scene_splatting
5,"adversarial, attack, deepfake",12,2024-11-30 14:00:00,5_deepfake_attack_adversarial
6,"super, restoration, sr",18,2024-11-30 14:00:00,6_super_sr_restoration
7,"traffic, equation, urban",16,2024-11-30 14:00:00,7_traffic_forecasting_graph
8,"captioning, caption, query",16,2024-11-30 14:00:00,8_caption_captioning_retrieval
9,"compression, codec, distortion",7,2024-11-30 14:00:00,9_compression_codec_coding
10,"spin, cg, wave",8,2024-11-30 14:00:00,10_quantum_vortex_wave
11,"audio, music, sound",17,2024-11-30 14:00:00,11_audio_sound_music
12,"question, answer, reasoning",11,2024-11-30 14:00:00,12_question_reasoning_answer
13,"hyperspectral, hsi, spectral",7,2024-11-30 14:00:00,13_hyperspectral_spectral_hsi
14,"sar, satellite, damage",5,2024-11-30 14:00:00,14_sar_radar_satellite
15,"action, guardrail, activity",5,2024-11-30 14:00:00,15_action_activity_vocabulary
16,"tracking, tiny, track",6,2024-11-30 14:00:00,16_tracking_segmentation_vos
17,"surgical, fluoroscopy, wire",3,2024-11-30 14:00:00,17_surgical_surgery_sam
18,"scene, synthesis, body",9,2024-11-30 14:00:00,18_character_synthesis_body
19,"ugc, assessment, vqa",6,2024-11-30 14:00:00,19_assessment_vqa_iqa
20,"driving, autonomous, scene",18,2024-11-30 14:00:00,20_driving_autonomous_traffic
21,"monocular, camera, mvs",11,2024-11-30 14:00:00,21_monocular_scene_estimation
22,"title, recommendation, metadata",4,2024-11-30 14:00:00,22_recommendation_social_medium
23,"egocentric, bimanual, grasp",12,2024-11-30 14:00:00,23_egocentric_grasp_bimanual
24,"dialogue, counseling, geospatial",4,2024-11-30 14:00:00,24_llm_geospatial_student
25,"anomaly, vad, forensic",7,2024-11-30 14:00:00,25_anomaly_vad_normal
26,"emotion, f2, dfer",4,2024-11-30 14:00:00,26_emotion_expression_facial
27,"token, textbf, tokenizer",6,2024-11-30 14:00:00,27_token_vit_tokenization
28,"sign, gloss, slp",3,2024-11-30 14:00:00,28_sign_gloss_translation
29,"communication, ran, transmission",5,2024-11-30 14:00:00,29_communication_wireless_transmission
30,"game, ugc, textsc",4,2024-11-30 14:00:00,30_game_player_llm
31,"pulsar, velocity, kick",4,2024-11-30 14:00:00,31_pulsar_star_gravitational
32,"estimation, conformal, uncertainty",4,2024-11-30 14:00:00,32_estimation_occlusion_camera
33,"tbd, ppg, authentication",2,2024-11-30 14:00:00,33_rppg_physiological_remote
